3	1	1	1	3	1	7	3.737	5.466	4.477	0.317	46.1653	4.2772	65	5	4	None
276	1	2	2	4	1	7	3.735	4.895	4.280	0.279	62.6445	2.5858	55	2	5	None
292	1	2	3	4	1	7	3.639	4.980	4.220	0.265	90.3233	0.0	45	0	1	None
293	1	2	3	5	1	7	3.573	4.980	4.060	0.277	49.0614	0.924	54	1	1	None
565	1	3	4	5	1	7	3.602	4.704	4.023	0.234	44.5313	1.1935	39	1	0	None
566	1	3	4	6	1	6	3.373	4.536	3.965	0.298	143.523	0.6936	49	1	0	None
582	1	3	5	6	1	6	3.328	4.856	3.903	0.329	52.2837	0.0	42	0	0	None
855	1	4	6	7	1	6	3.158	4.243	3.775	0.259	21.1087	0.0	26	0	1	None
4099	2	1	1	3	1	7	3.730	5.379	4.612	0.321	54.3458	59.7932	109	16	6	None
4371	2	2	2	3	1	7	3.958	5.046	4.537	0.262	86.9605	1.8942	64	1	9	None
4372	2	2	2	4	1	7	3.623	5.382	4.397	0.320	95.0781	17.3533	95	10	3	None
4388	2	2	3	4	1	7	3.659	5.056	4.292	0.304	208.853	131.124	75	8	2	None
4389	2	2	3	5	1	7	3.540	4.868	4.077	0.311	188.19	32.5599	22	7	2	None
4645	2	3	3	5	1	6	3.469	4.773	4.168	0.244	99.333	2.4529	64	2	2	None
4661	2	3	4	5	1	6	3.337	4.704	4.028	0.247	179.4	9.851	102	3	1	None
4662	2	3	4	6	1	6	3.418	4.416	3.920	0.238	239.622	2.4801	44	2	0	None
4678	2	3	5	6	1	6	3.358	4.343	3.833	0.220	462.596	10.0045	32	4	0	None
4934	2	4	5	6	1	6	3.449	4.531	3.949	0.228	799.328	1.5656	71	2	0	None
4935	2	4	5	7	1	6	3.302	4.148	3.744	0.227	239.043	0.0	35	0	0	None
4951	2	4	6	7	1	6	3.199	4.568	3.765	0.251	539.377	29.6499	68	4	1	None
5224	2	5	7	8	1	6	3.083	4.450	3.709	0.258	331.559	0.4548	68	1	0	None
5241	2	5	8	9	1	6	3.133	4.143	3.578	0.239	202.706	6.2607	32	2	0	None
5497	2	6	8	9	1	6	3.220	3.967	3.550	0.219	61.2263	0.0	30	0	0	None
5514	2	6	9	10	1	6	3.049	4.307	3.526	0.276	161.402	0.8252	32	1	0	None
5787	2	7	10	11	1	6	3.137	3.841	3.453	0.209	28.1352	0.889	21	1	1	None
8195	3	1	1	3	1	6	3.494	5.571	4.674	0.385	17.0359	187.018	53	42	5	None
8451	3	2	1	3	1	8	4.086	5.593	4.846	0.340	30.3281	116.316	78	17	4	None
8467	3	2	2	3	1	7	3.632	5.643	4.638	0.362	105.21	81.863	140	24	7	None
8468	3	2	2	4	1	7	3.623	5.242	4.440	0.311	223.881	162.611	138	26	3	None
8484	3	2	3	4	1	6	3.392	5.013	4.248	0.279	72.2088	184.335	71	25	2	None
8740	3	3	3	4	1	7	3.619	5.093	4.342	0.289	326.988	44.2647	145	8	1	None
8741	3	3	3	5	1	7	3.628	4.952	4.176	0.278	232.573	158.258	104	10	2	None
8757	3	3	4	5	1	6	3.412	4.968	4.077	0.280	761.879	699.134	179	35	3	None
